occ	hour	percent
1	0	1.3
1	1	1
1	2	0.3
1	3	0.4
1	4	0.7
1	5	2.1
1	6	5.6
1	7	18.2
1	8	53.1
1	9	76.6
1	10	78.4
1	11	81.9
1	12	57.1
1	13	60.7
1	14	75.1
1	15	75.1
1	16	64.6
1	17	35.6
1	18	16.1
1	19	9.6
1	20	5.9
1	21	5.3
1	22	4.8
1	23	3.7
2	0	4.1
2	1	3
2	2	2.1
2	3	1.7
2	4	2.6
2	5	3.2
2	6	6
2	7	15.5
2	8	42.8
2	9	70
2	10	75.5
2	11	77.8
2	12	50.4
2	13	64.9
2	14	76.5
2	15	74.7
2	16	67.6
2	17	44.2
2	18	17
2	19	8.3
2	20	8.6
2	21	7.4
2	22	6.4
2	23	5.7
3	0	1.9
3	1	2.2
3	2	1.1
3	3	1.1
3	4	0.8
3	5	2.5
3	6	10
3	7	33.6
3	8	65.8
3	9	78.2
3	10	82.5
3	11	81.4
3	12	42.1
3	13	75.6
3	14	80.7
3	15	72.2
3	16	62.6
3	17	37.3
3	18	14.4
3	19	6.2
3	20	4.2
3	21	3.7
3	22	4.6
3	23	3.3
4	0	0.9
4	1	0.9
4	2	0
4	3	0
4	4	0.1
4	5	0.4
4	6	2.3
4	7	10.1
4	8	32.3
4	9	64.4
4	10	73
4	11	76.2
4	12	56.4
4	13	49.9
4	14	69.8
4	15	70.6
4	16	64.3
4	17	41.8
4	18	16.9
4	19	8.9
4	20	4.3
4	21	6.8
4	22	3.8
4	23	2
5	0	1.5
5	1	0.7
5	2	0.2
5	3	0.2
5	4	0.5
5	5	0.5
5	6	3
5	7	16.6
5	8	51.1
5	9	68
5	10	70.1
5	11	67.9
5	12	52.8
5	13	63
5	14	66.4
5	15	57.1
5	16	35.8
5	17	21.2
5	18	13
5	19	11.4
5	20	9.7
5	21	8.6
5	22	5.7
5	23	4.1
6	0	4.8
6	1	3.1
6	2	2.6
6	3	1.6
6	4	2.1
6	5	2.8
6	6	5.6
6	7	13.3
6	8	30.5
6	9	53.5
6	10	60.1
6	11	63.3
6	12	48.4
6	13	52
6	14	61.4
6	15	61.7
6	16	56.3
6	17	41.5
6	18	22.8
6	19	16.1
6	20	16
6	21	10.3
6	22	8.5
6	23	6
7	0	7.9
7	1	6.7
7	2	5.8
7	3	4.9
7	4	8.9
7	5	9.3
7	6	13.7
7	7	30.3
7	8	53.1
7	9	65.7
7	10	66.8
7	11	70.2
7	12	55.9
7	13	58.8
7	14	66.5
7	15	68.2
7	16	56.1
7	17	38.2
7	18	25.9
7	19	20.7
7	20	16.2
7	21	14.7
7	22	13.2
7	23	12.6
8	0	2.4
8	1	1.8
8	2	1.6
8	3	2.1
8	4	2.3
8	5	3.8
8	6	7.7
8	7	17.4
8	8	36.8
8	9	53.8
8	10	61.8
8	11	65.1
8	12	54.3
8	13	56.6
8	14	64
8	15	64.5
8	16	58.4
8	17	44.2
8	18	29.4
8	19	21.9
8	20	18.5
8	21	13.1
8	22	8.1
8	23	4.3
