occ	hour	percent
1	0	2.1
1	1	1.3
1	2	0.9
1	3	0.5
1	4	0.6
1	5	1.4
1	6	5.8
1	7	23.1
1	8	58.7
1	9	78.2
1	10	84.4
1	11	85.1
1	12	58.3
1	13	68.5
1	14	79.6
1	15	78.6
1	16	73.3
1	17	38.8
1	18	18.9
1	19	7.6
1	20	6.6
1	21	5.8
1	22	4.5
1	23	2.8
2	0	2
2	1	1.1
2	2	1.4
2	3	0.7
2	4	0.6
2	5	0
2	6	3.8
2	7	20.9
2	8	52.1
2	9	72.8
2	10	82.4
2	11	87
2	12	49.8
2	13	65.8
2	14	80
2	15	74.5
2	16	66.8
2	17	43.3
2	18	14.3
2	19	9.4
2	20	5.5
2	21	8
2	22	6.4
2	23	4.6
3	0	1
3	1	1
3	2	0
3	3	0.3
3	4	2.2
3	5	4.5
3	6	10.9
3	7	37.4
3	8	64.2
3	9	83.6
3	10	88.1
3	11	83.8
3	12	51.4
3	13	80.6
3	14	79.9
3	15	83.6
3	16	61.4
3	17	33.7
3	18	11.3
3	19	3.6
3	20	5
3	21	3.4
3	22	2.6
3	23	1.5
4	0	0.5
4	1	0
4	2	0
4	3	1.8
4	4	0.5
4	5	0.5
4	6	1.6
4	7	3.5
4	8	66.4
4	9	79.9
4	10	81.5
4	11	90.5
4	12	61.9
4	13	66.4
4	14	77.7
4	15	79.3
4	16	66.2
4	17	39.7
4	18	21.3
4	19	5.6
4	20	7.3
4	21	4.9
4	22	6.3
4	23	2.5
5	0	1.1
5	1	0.1
5	2	0.1
5	3	0.1
5	4	0.5
5	5	0.9
5	6	3.5
5	7	15.6
5	8	49.8
5	9	69.1
5	10	71.4
5	11	67.3
5	12	56
5	13	67.1
5	14	72.3
5	15	63
5	16	42.1
5	17	25.3
5	18	10.6
5	19	8.6
5	20	10.9
5	21	9.7
5	22	5.2
5	23	3.1
6	0	6.6
6	1	5.3
6	2	0.8
6	3	0.8
6	4	3.8
6	5	3.3
6	6	5
6	7	14.4
6	8	34.6
6	9	56
6	10	61.1
6	11	64.7
6	12	54.5
6	13	56.4
6	14	61.5
6	15	57.3
6	16	50.4
6	17	41.6
6	18	19
6	19	20
6	20	19.9
6	21	15.1
6	22	16.5
6	23	6.5
7	0	8.4
7	1	6.5
7	2	7.5
7	3	8.3
7	4	10.5
7	5	11.3
7	6	18.1
7	7	36.7
7	8	54.7
7	9	67.7
7	10	71.7
7	11	70.9
7	12	57.9
7	13	59.4
7	14	66.6
7	15	66
7	16	55.3
7	17	40
7	18	25.6
7	19	20.7
7	20	14.3
7	21	13
7	22	11.8
7	23	11.5
8	0	2.7
8	1	1.7
8	2	1.4
8	3	1.5
8	4	2
8	5	2.9
8	6	6.6
8	7	15.7
8	8	34.1
8	9	53
8	10	59.2
8	11	64.3
8	12	57.3
8	13	62.8
8	14	64.7
8	15	66.9
8	16	63.9
8	17	45.6
8	18	31.2
8	19	24.1
8	20	17.1
8	21	15.4
8	22	9.6
8	23	6.4
